公司名称,其他非流动资产,年份,table_dir,pdf_path,html_path
银川新华百货商业集团股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-18__银川新华百货商业集团股份有限公司__600785__新华百货__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-18__银川新华百货商业集团股份有限公司__600785__新华百货__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-18__银川新华百货商业集团股份有限公司__600785__新华百货__2020年__年度报告.html
东浩兰生会展集团股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-09__东浩兰生会展集团股份有限公司__600826__兰生股份__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-09__东浩兰生会展集团股份有限公司__600826__兰生股份__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-09__东浩兰生会展集团股份有限公司__600826__兰生股份__2021年__年度报告.html
成都佳发安泰教育科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-11__成都佳发安泰教育科技股份有限公司__300559__佳发教育__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-11__成都佳发安泰教育科技股份有限公司__300559__佳发教育__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-11__成都佳发安泰教育科技股份有限公司__300559__佳发教育__2021年__年度报告.html
中远海运特种运输股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-31__中远海运特种运输股份有限公司__600428__中远海特__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-31__中远海运特种运输股份有限公司__600428__中远海特__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-31__中远海运特种运输股份有限公司__600428__中远海特__2020年__年度报告.html
山石网科通信技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-22__山石网科通信技术股份有限公司__688030__山石网科__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-22__山石网科通信技术股份有限公司__688030__山石网科__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-22__山石网科通信技术股份有限公司__688030__山石网科__2019年__年度报告.html
哈尔滨空调股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-03__哈尔滨空调股份有限公司__600202__哈空调__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-03__哈尔滨空调股份有限公司__600202__哈空调__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-03__哈尔滨空调股份有限公司__600202__哈空调__2019年__年度报告.html
第一拖拉机股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-30__第一拖拉机股份有限公司__601038__一拖股份__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-30__第一拖拉机股份有限公司__601038__一拖股份__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-30__第一拖拉机股份有限公司__601038__一拖股份__2020年__年度报告.html
昇辉智能科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-22__昇辉智能科技股份有限公司__300423__昇辉科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-22__昇辉智能科技股份有限公司__300423__昇辉科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-22__昇辉智能科技股份有限公司__300423__昇辉科技__2020年__年度报告.html
北京市博汇科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-20__北京市博汇科技股份有限公司__688004__博汇科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-20__北京市博汇科技股份有限公司__688004__博汇科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-20__北京市博汇科技股份有限公司__688004__博汇科技__2020年__年度报告.html
神思电子技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-31__神思电子技术股份有限公司__300479__神思电子__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-31__神思电子技术股份有限公司__300479__神思电子__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-31__神思电子技术股份有限公司__300479__神思电子__2019年__年度报告.html
江苏润和软件股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-12__江苏润和软件股份有限公司__300339__润和软件__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-12__江苏润和软件股份有限公司__300339__润和软件__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-12__江苏润和软件股份有限公司__300339__润和软件__2021年__年度报告.html
北京恒华伟业科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-15__北京恒华伟业科技股份有限公司__300365__恒华科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-15__北京恒华伟业科技股份有限公司__300365__恒华科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-15__北京恒华伟业科技股份有限公司__300365__恒华科技__2020年__年度报告.html
上海安硕信息技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-24__上海安硕信息技术股份有限公司__300380__安硕信息__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-24__上海安硕信息技术股份有限公司__300380__安硕信息__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-24__上海安硕信息技术股份有限公司__300380__安硕信息__2019年__年度报告.html
深圳市北鼎晶辉科技股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-24__深圳市北鼎晶辉科技股份有限公司__300824__北鼎股份__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-24__深圳市北鼎晶辉科技股份有限公司__300824__北鼎股份__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-24__深圳市北鼎晶辉科技股份有限公司__300824__北鼎股份__2021年__年度报告.html
中孚信息股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-31__中孚信息股份有限公司__300659__中孚信息__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-31__中孚信息股份有限公司__300659__中孚信息__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-31__中孚信息股份有限公司__300659__中孚信息__2020年__年度报告.html
香溢融通控股集团股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-18__香溢融通控股集团股份有限公司__600830__香溢融通__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-18__香溢融通控股集团股份有限公司__600830__香溢融通__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-18__香溢融通控股集团股份有限公司__600830__香溢融通__2019年__年度报告.html
上海钢联电子商务股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-01__上海钢联电子商务股份有限公司__300226__上海钢联__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-01__上海钢联电子商务股份有限公司__300226__上海钢联__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-01__上海钢联电子商务股份有限公司__300226__上海钢联__2020年__年度报告.html
安徽安孚电池科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-23__安徽安孚电池科技股份有限公司__603031__安孚科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-23__安徽安孚电池科技股份有限公司__603031__安孚科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-23__安徽安孚电池科技股份有限公司__603031__安孚科技__2020年__年度报告.html
武汉祥龙电业股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-21__武汉祥龙电业股份有限公司__600769__祥龙电业__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-21__武汉祥龙电业股份有限公司__600769__祥龙电业__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-21__武汉祥龙电业股份有限公司__600769__祥龙电业__2020年__年度报告.html
正源控股股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-11__正源控股股份有限公司__600321__正源股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-11__正源控股股份有限公司__600321__正源股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-11__正源控股股份有限公司__600321__正源股份__2019年__年度报告.html
贵州茅台酒股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-22__贵州茅台酒股份有限公司__600519__贵州茅台__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-22__贵州茅台酒股份有限公司__600519__贵州茅台__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-22__贵州茅台酒股份有限公司__600519__贵州茅台__2019年__年度报告.html
东方财富信息股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-19__东方财富信息股份有限公司__300059__东方财富__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-19__东方财富信息股份有限公司__300059__东方财富__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-19__东方财富信息股份有限公司__300059__东方财富__2021年__年度报告.html
东方通信股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-29__东方通信股份有限公司__600776__东方通信__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-29__东方通信股份有限公司__600776__东方通信__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-29__东方通信股份有限公司__600776__东方通信__2020年__年度报告.html
上海钢联电子商务股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-15__上海钢联电子商务股份有限公司__300226__上海钢联__2021年__年度报告.html
奇精机械股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-02-22__奇精机械股份有限公司__603677__奇精机械__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-02-22__奇精机械股份有限公司__603677__奇精机械__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-02-22__奇精机械股份有限公司__603677__奇精机械__2019年__年度报告.html
上海亚通股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-23__上海亚通股份有限公司__600692__亚通股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-23__上海亚通股份有限公司__600692__亚通股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-23__上海亚通股份有限公司__600692__亚通股份__2019年__年度报告.html
北京华宇软件股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-19__北京华宇软件股份有限公司__300271__华宇软件__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-19__北京华宇软件股份有限公司__300271__华宇软件__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-19__北京华宇软件股份有限公司__300271__华宇软件__2019年__年度报告.html
上海市天宸股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-01__上海市天宸股份有限公司__600620__天宸股份__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-01__上海市天宸股份有限公司__600620__天宸股份__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-01__上海市天宸股份有限公司__600620__天宸股份__2019年__年度报告.html
上海泰胜风能装备股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-08__上海泰胜风能装备股份有限公司__300129__泰胜风能__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-08__上海泰胜风能装备股份有限公司__300129__泰胜风能__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-08__上海泰胜风能装备股份有限公司__300129__泰胜风能__2019年__年度报告.html
北京佳讯飞鸿电气股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-10__北京佳讯飞鸿电气股份有限公司__300213__佳讯飞鸿__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-10__北京佳讯飞鸿电气股份有限公司__300213__佳讯飞鸿__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-10__北京佳讯飞鸿电气股份有限公司__300213__佳讯飞鸿__2019年__年度报告.html
北京韩建河山管业股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-16__北京韩建河山管业股份有限公司__603616__韩建河山__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-16__北京韩建河山管业股份有限公司__603616__韩建河山__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-16__北京韩建河山管业股份有限公司__603616__韩建河山__2020年__年度报告.html
上海金桥出口加工区开发股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-15__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-15__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-15__上海金桥出口加工区开发股份有限公司__900911__浦东金桥__2021年__年度报告.html
大禹节水集团股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-10__大禹节水集团股份有限公司__300021__大禹节水__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-10__大禹节水集团股份有限公司__300021__大禹节水__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-10__大禹节水集团股份有限公司__300021__大禹节水__2019年__年度报告.html
石家庄通合电子科技股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-03-30__石家庄通合电子科技股份有限公司__300491__通合科技__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-03-30__石家庄通合电子科技股份有限公司__300491__通合科技__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-03-30__石家庄通合电子科技股份有限公司__300491__通合科技__2020年__年度报告.html
中信出版集团股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-28__中信出版集团股份有限公司__300788__中信出版__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-28__中信出版集团股份有限公司__300788__中信出版__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-28__中信出版集团股份有限公司__300788__中信出版__2019年__年度报告.html
东方通信股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-08__东方通信股份有限公司__600776__东方通信__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-08__东方通信股份有限公司__600776__东方通信__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-08__东方通信股份有限公司__600776__东方通信__2019年__年度报告.html
深圳市今天国际物流技术股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-31__深圳市今天国际物流技术股份有限公司__300532__今天国际__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-31__深圳市今天国际物流技术股份有限公司__300532__今天国际__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-31__深圳市今天国际物流技术股份有限公司__300532__今天国际__2019年__年度报告.html
湖南科创信息技术股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-17__湖南科创信息技术股份有限公司__300730__科创信息__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-17__湖南科创信息技术股份有限公司__300730__科创信息__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-17__湖南科创信息技术股份有限公司__300730__科创信息__2020年__年度报告.html
宁波迦南智能电气股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-23__宁波迦南智能电气股份有限公司__300880__迦南智能__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-23__宁波迦南智能电气股份有限公司__300880__迦南智能__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-23__宁波迦南智能电气股份有限公司__300880__迦南智能__2020年__年度报告.html
中铁铁龙集装箱物流股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2021年__年度报告.html
中铁铁龙集装箱物流股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-09__中铁铁龙集装箱物流股份有限公司__600125__铁龙物流__2020年__年度报告.html
海南葫芦娃药业集团股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-17__海南葫芦娃药业集团股份有限公司__605199__葫芦娃__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-17__海南葫芦娃药业集团股份有限公司__605199__葫芦娃__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-17__海南葫芦娃药业集团股份有限公司__605199__葫芦娃__2020年__年度报告.html
湖南三德科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-21__湖南三德科技股份有限公司__300515__三德科技__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-21__湖南三德科技股份有限公司__300515__三德科技__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-21__湖南三德科技股份有限公司__300515__三德科技__2019年__年度报告.html
长沙景嘉微电子股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-24__长沙景嘉微电子股份有限公司__300474__景嘉微__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-24__长沙景嘉微电子股份有限公司__300474__景嘉微__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-24__长沙景嘉微电子股份有限公司__300474__景嘉微__2019年__年度报告.html
银川新华百货商业集团股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-30__银川新华百货商业集团股份有限公司__600785__新华百货__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-30__银川新华百货商业集团股份有限公司__600785__新华百货__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-30__银川新华百货商业集团股份有限公司__600785__新华百货__2021年__年度报告.html
安徽新力金融股份有限公司,,2021,/data/chengshuang/SMP2023/table_extract/alltable_merge/2022-03-26__安徽新力金融股份有限公司__600318__新力金融__2021年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2022-03-26__安徽新力金融股份有限公司__600318__新力金融__2021年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2022-03-26__安徽新力金融股份有限公司__600318__新力金融__2021年__年度报告.html
北京辰安科技股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-04-23__北京辰安科技股份有限公司__300523__辰安科技__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-04-23__北京辰安科技股份有限公司__300523__辰安科技__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-04-23__北京辰安科技股份有限公司__300523__辰安科技__2019年__年度报告.html
探路者控股集团股份有限公司,,2020,/data/chengshuang/SMP2023/table_extract/alltable_merge/2021-04-16__探路者控股集团股份有限公司__300005__探路者__2020年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2021-04-16__探路者控股集团股份有限公司__300005__探路者__2020年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2021-04-16__探路者控股集团股份有限公司__300005__探路者__2020年__年度报告.html
吉林高速公路股份有限公司,,2019,/data/chengshuang/SMP2023/table_extract/alltable_merge/2020-03-21__吉林高速公路股份有限公司__601518__吉林高速__2019年__年度报告,/data/chengshuang/chatglm_llm_fintech_raw_dataset/allpdf/2020-03-21__吉林高速公路股份有限公司__601518__吉林高速__2019年__年度报告.pdf,/data/chengshuang/SMP2023/table_extract/html_result_new/2020-03-21__吉林高速公路股份有限公司__601518__吉林高速__2019年__年度报告.html
